day,rainfall_mm,date
160,0.0,2024-06-08
161,0.0,2024-06-09
162,0.0,2024-06-10
163,0.0,2024-06-11
164,0.0,2024-06-12
165,0.0,2024-06-13
166,0.0,2024-06-14
167,0.0,2024-06-15
168,0.0,2024-06-16
169,0.0,2024-06-17
170,0.82129645,2024-06-18
171,7.0006423,2024-06-19
172,9.1573925,2024-06-20
173,0.0,2024-06-21
174,0.0,2024-06-22
175,0.0,2024-06-23
176,0.4372486,2024-06-24
177,1.1086125,2024-06-25
178,7.8972893,2024-06-26
179,48.180855,2024-06-27
180,1.1508853,2024-06-28
181,3.4704223,2024-06-29
182,39.62682,2024-06-30
183,13.156292,2024-07-01
184,8.7503605,2024-07-02
185,38.641876,2024-07-03
186,3.5264466,2024-07-04
187,35.665554,2024-07-05
188,55.05688,2024-07-06
189,18.441479,2024-07-07
190,0.46124247,2024-07-08
191,0.0,2024-07-09
192,0.0,2024-07-10
193,14.683148,2024-07-11
194,0.9978098,2024-07-12
195,0.0,2024-07-13
196,18.00588,2024-07-14
197,0.7571831,2024-07-15
198,15.635974,2024-07-16
199,8.033073,2024-07-17
200,7.0705433,2024-07-18
201,0.0,2024-07-19
202,29.894604,2024-07-20
203,21.528717,2024-07-21
204,30.365122,2024-07-22
205,12.526107,2024-07-23
206,4.663985,2024-07-24
207,37.89975,2024-07-25
208,69.50749,2024-07-26
209,40.70059,2024-07-27
210,0.5399106,2024-07-28
211,12.053263,2024-07-29
212,15.1324415,2024-07-30
213,20.908094,2024-07-31
214,11.608754,2024-08-01
215,46.91508,2024-08-02
216,17.911459,2024-08-03
217,3.196342,2024-08-04
218,12.96297,2024-08-05
219,5.4638643,2024-08-06
220,29.590944,2024-08-07
221,4.801894,2024-08-08
222,1.3571271,2024-08-09
223,28.66642,2024-08-10
224,27.861023,2024-08-11
225,16.323608,2024-08-12
226,14.582579,2024-08-13
227,5.7920556,2024-08-14
228,31.714512,2024-08-15
229,3.5735598,2024-08-16
230,8.67688,2024-08-17
231,0.63432914,2024-08-18
232,19.072536,2024-08-19
233,44.33993,2024-08-20
234,35.749557,2024-08-21
235,13.777359,2024-08-22
236,37.7038,2024-08-23
237,8.394045,2024-08-24
238,22.802753,2024-08-25
239,0.5829981,2024-08-26
240,5.747413,2024-08-27
241,15.059913,2024-08-28
242,4.90589,2024-08-29
243,22.793938,2024-08-30
244,1.0095774,2024-08-31
245,0.0,2024-09-01
246,34.99384,2024-09-02
247,13.792271,2024-09-03
248,40.305943,2024-09-04
249,1.7225516,2024-09-05
250,9.429609,2024-09-06
251,8.637572,2024-09-07
252,13.844417,2024-09-08
253,1.0202467,2024-09-09
254,13.633166,2024-09-10
255,8.88546,2024-09-11
256,11.74197,2024-09-12
257,37.053402,2024-09-13
258,20.563807,2024-09-14
259,0.0,2024-09-15
260,0.0,2024-09-16
261,0.0,2024-09-17
262,11.258132,2024-09-18
263,0.49302113,2024-09-19
264,0.0,2024-09-20
265,0.0,2024-09-21
266,0.0,2024-09-22
267,0.0,2024-09-23
268,0.0,2024-09-24
269,0.0,2024-09-25
270,35.465187,2024-09-26
271,0.7198329,2024-09-27
272,2.1110044,2024-09-28
273,0.7571831,2024-09-29
274,0.0,2024-09-30
275,0.0,2024-10-01
276,0.0,2024-10-02
277,0.0,2024-10-03
278,0.0,2024-10-04
279,0.0,2024-10-05
280,0.0,2024-10-06
281,0.0,2024-10-07
282,0.0,2024-10-08
283,0.12723665,2024-10-09
284,0.0,2024-10-10
285,0.0,2024-10-11
286,0.0,2024-10-12
287,0.0,2024-10-13
288,0.0,2024-10-14
289,0.0,2024-10-15
290,0.0,2024-10-16
291,0.0,2024-10-17
292,0.0,2024-10-18
293,0.0,2024-10-19
294,0.0,2024-10-20
295,0.0,2024-10-21
296,0.0,2024-10-22
297,0.3079862,2024-10-23
298,0.0,2024-10-24
299,0.0,2024-10-25
300,0.0,2024-10-26
301,0.0,2024-10-27
302,0.0,2024-10-28
303,0.0,2024-10-29
304,0.0,2024-10-30
305,0.0,2024-10-31
306,0.0,2024-11-01
307,0.0,2024-11-02
308,0.0,2024-11-03
309,0.0,2024-11-04
310,0.0,2024-11-05
311,0.0,2024-11-06
312,0.0,2024-11-07
313,0.0,2024-11-08
314,0.0,2024-11-09
315,0.0,2024-11-10
316,0.0,2024-11-11
317,0.0,2024-11-12
318,0.0,2024-11-13
319,0.0,2024-11-14
320,0.0,2024-11-15
321,0.0,2024-11-16
322,0.0,2024-11-17
323,0.0,2024-11-18
324,0.0,2024-11-19
325,0.0,2024-11-20
326,0.0,2024-11-21
327,0.0,2024-11-22
328,0.0,2024-11-23
329,0.0,2024-11-24
330,0.0,2024-11-25
331,0.0,2024-11-26
332,0.0,2024-11-27
333,0.0,2024-11-28
334,0.0,2024-11-29
335,0.0,2024-11-30
336,0.0,2024-12-01
337,0.0,2024-12-02
338,0.0,2024-12-03
339,0.0,2024-12-04
340,0.0,2024-12-05
341,0.0,2024-12-06
342,0.0,2024-12-07
343,0.0,2024-12-08
344,1.745255,2024-12-09
345,0.94647884,2024-12-10
346,0.0,2024-12-11
347,0.0,2024-12-12
348,0.0,2024-12-13
349,0.0,2024-12-14
350,0.0,2024-12-15
351,0.0,2024-12-16
352,0.0,2024-12-17
353,0.0,2024-12-18
354,0.0,2024-12-19
355,0.0,2024-12-20
356,0.0,2024-12-21
357,0.0,2024-12-22
358,0.0,2024-12-23
359,3.5995054,2024-12-24
360,0.0,2024-12-25
361,0.0,2024-12-26
362,0.0,2024-12-27
363,23.038525,2024-12-28
364,16.530012,2024-12-29
365,0.0,2024-12-30
366,0.0,2024-12-31
